大津波	名詞,固有名詞,人名,一般,*,*,大津波,オオツナミ,オーツナミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
招き	動詞,自立,*,*,五段・カ行イ音便,連用形,招く,マネキ,マネキ
かね	動詞,非自立,*,*,一段,未然形,かねる,カネ,カネ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
」	記号,括弧閉,*,*,*,*,」,」,」
　	記号,空白,*,*,*,*,　,　,　
“	記号,括弧開,*,*,*,*,“,“,“
ブラクラ	名詞,固有名詞,一般,*,*,*,ブラクラ,ブラクラ,ブラクラ
URL	名詞,固有名詞,一般,*,*,*,URL,ユーアールエル,ユーアールエル
書き込み	名詞,一般,*,*,*,*,書き込み,カキコミ,カキコミ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
中学生	名詞,一般,*,*,*,*,中学生,チュウガクセイ,チューガクセイ
補導	名詞,サ変接続,*,*,*,*,補導,ホドウ,ホドー
”	記号,括弧閉,*,*,*,*,”,”,”
、	記号,読点,*,*,*,*,、,、,、
弁護士	名詞,一般,*,*,*,*,弁護士,ベンゴシ,ベンゴシ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
問題	名詞,ナイ形容詞語幹,*,*,*,*,問題,モンダイ,モンダイ
点	名詞,接尾,一般,*,*,*,点,テン,テン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
-	記号,一般,*,*,*,*,*
ねとらぼ	名詞,固有名詞,一般,*,*,*,ねとらぼ,ネトラボ,ネトラボ
EOS
たつき	名詞,一般,*,*,*,*,たつき,タツキ,タツキ
監督	名詞,サ変接続,*,*,*,*,監督,カントク,カントク
けものフレンズ	名詞,固有名詞,一般,*,*,*,けものフレンズ,ケモノフレンズ,ケモノフレンズ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
見	動詞,自立,*,*,一段,未然形,見る,ミ,ミ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
吉崎	名詞,固有名詞,地域,一般,*,*,吉崎,ヨシサキ,ヨシサキ
版	名詞,接尾,一般,*,*,*,版,バン,バン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
“	記号,括弧開,*,*,*,*,“,“,“
トゲ	名詞,固有名詞,一般,*,*,*,トゲ,トゲ,トゲ
抜き	名詞,一般,*,*,*,*,抜き,ヌキ,ヌキ
”	記号,括弧閉,*,*,*,*,”,”,”
（	記号,括弧開,*,*,*,*,（,（,（
トゲ	名詞,固有名詞,一般,*,*,*,トゲ,トゲ,トゲ
抜き	名詞,一般,*,*,*,*,抜き,ヌキ,ヌキ
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ
無い	形容詞,自立,*,*,形容詞・アウオ段,基本形,無い,ナイ,ナイ
けもフレ	名詞,固有名詞,一般,*,*,*,けもフレ,ケモフレ,ケモフレ
2	名詞,数,*,*,*,*,*
と	助詞,格助詞,引用,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
比較	名詞,サ変接続,*,*,*,*,比較,ヒカク,ヒカク
）	記号,括弧閉,*,*,*,*,）,）,）
-	記号,一般,*,*,*,*,*
Togetter	名詞,固有名詞,一般,*,*,*,Togetter,トゥギャッター,トゥギャッター
EOS
市川海老蔵	名詞,固有名詞,人名,一般,*,*,市川海老蔵,イチカワエビゾウ,イチカワエビゾー
　	記号,空白,*,*,*,*,　,　,　
酒	名詞,一般,*,*,*,*,酒,サケ,サケ
も	助詞,係助詞,*,*,*,*,も,モ,モ
女	名詞,一般,*,*,*,*,女,オンナ,オンナ
も	助詞,係助詞,*,*,*,*,も,モ,モ
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ
なし	形容詞,自立,*,*,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
“	記号,括弧開,*,*,*,*,“,“,“
ストイック	名詞,形容動詞語幹,*,*,*,*,ストイック,ストイック,ストイック
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ
”	記号,括弧閉,*,*,*,*,”,”,”
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
ワケ	名詞,固有名詞,一般,*,*,*,ワケ,ワケ,ワケ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
？	記号,一般,*,*,*,*,？,？,？
〈	記号,括弧開,*,*,*,*,〈,〈,〈
週刊朝日	名詞,固有名詞,一般,*,*,*,週刊朝日,シュウカンアサヒ,シューカンアサヒ
〉	記号,括弧閉,*,*,*,*,〉,〉,〉
（	記号,括弧開,*,*,*,*,（,（,（
AERA	名詞,固有名詞,一般,*,*,*,AERA,アエラ,アエラ
dot	名詞,固有名詞,人名,一般,*,*,D・O・T,デザートオブトゥモロー,デザートオブトゥモロー
.）	記号,一般,*,*,*,*,*
-	記号,一般,*,*,*,*,*
Yahoo!ニュース	名詞,固有名詞,一般,*,*,*,Yahoo!ニュース,ヤフーニュース,ヤフーニュース
EOS
【	記号,括弧開,*,*,*,*,【,【,【
魚拓	名詞,一般,*,*,*,*,魚拓,ギョタク,ギョタク
】	記号,括弧閉,*,*,*,*,】,】,】
すぐ	副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ
消し	動詞,自立,*,*,五段・サ行,連用形,消す,ケシ,ケシ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
！	記号,一般,*,*,*,*,！,！,！
ほか	名詞,副詞可能,*,*,*,*,ほか,ホカ,ホカ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
始まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,始まる,ハジマッ,ハジマッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ろ	名詞,一般,*,*,*,*,ろ,ロ,ロ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
終わる	動詞,自立,*,*,五段・ラ行,基本形,終わる,オワル,オワル
記事	名詞,一般,*,*,*,*,記事,キジ,キジ
読ん	動詞,自立,*,*,五段・マ行,連用タ接続,読む,ヨン,ヨン
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
！	記号,一般,*,*,*,*,！,！,！
|	記号,一般,*,*,*,*,*
結婚物語	名詞,固有名詞,一般,*,*,*,結婚物語,ケッコンモノガタリ,ケッコンモノガタリ
。	記号,句点,*,*,*,*,。,。,。
ブログ	名詞,固有名詞,一般,*,*,*,blog,ブログ,ブログ
EOS
ランダム	名詞,形容動詞語幹,*,*,*,*,ランダム,ランダム,ランダム
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
文字	名詞,一般,*,*,*,*,文字,モジ,モジ
列	名詞,一般,*,*,*,*,列,レツ,レツ
っぽい	形容詞,接尾,*,*,形容詞・アウオ段,基本形,っぽい,ッポイ,ッポイ
「	記号,括弧開,*,*,*,*,「,「,「
ji	名詞,一般,*,*,*,*,*
32	名詞,数,*,*,*,*,*
k7	名詞,固有名詞,一般,*,*,*,K7,ケイセブン,ケイセブン
au	名詞,固有名詞,一般,*,*,*,au,エーユー,エーユー
4	名詞,数,*,*,*,*,*
a	名詞,接尾,助数詞,*,*,*,a,アール,アール
83	名詞,数,*,*,*,*,*
」	記号,括弧閉,*,*,*,*,」,」,」
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
パスワード	名詞,一般,*,*,*,*,パスワード,パスワード,パスワード
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
大量	名詞,形容動詞語幹,*,*,*,*,大量,タイリョウ,タイリョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ユーザー	名詞,一般,*,*,*,*,ユーザー,ユーザー,ユーザー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
使わ	動詞,自立,*,*,五段・ワ行促音便,未然形,使う,ツカワ,ツカワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
理由	名詞,一般,*,*,*,*,理由,リユウ,リユー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
？	記号,一般,*,*,*,*,？,？,？
-	記号,一般,*,*,*,*,*
GIGAZINE	名詞,固有名詞,一般,*,*,*,GIGAZINE,ギガジン,ギガジン
EOS
「	記号,括弧開,*,*,*,*,「,「,「
利用者	名詞,固有名詞,一般,*,*,*,利用者,リヨウシャ,リヨーシャ
い	動詞,自立,*,*,一段,未然形,いる,イ,イ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
走ら	動詞,自立,*,*,五段・ラ行,未然形,走る,ハシラ,ハシラ
せろ	動詞,接尾,*,*,一段,命令ｒｏ,せる,セロ,セロ
」	記号,括弧閉,*,*,*,*,」,」,」
「	記号,括弧開,*,*,*,*,「,「,「
気分	名詞,一般,*,*,*,*,気分,キブン,キブン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
悪い	形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ
」	記号,括弧閉,*,*,*,*,」,」,」
山口	名詞,固有名詞,人名,姓,*,*,山口,ヤマグチ,ヤマグチ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
いわくにバス	名詞,固有名詞,一般,*,*,*,いわくにバス,イワクニバス,イワクニバス
の	助詞,連体化,*,*,*,*,の,ノ,ノ
路線	名詞,一般,*,*,*,*,路線,ロセン,ロセン
廃止	名詞,サ変接続,*,*,*,*,廃止,ハイシ,ハイシ
説明会	名詞,固有名詞,一般,*,*,*,説明会,セツメイカイ,セツメイカイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
意見	名詞,サ変接続,*,*,*,*,意見,イケン,イケン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
辛辣	名詞,形容動詞語幹,*,*,*,*,辛辣,シンラツ,シンラツ
すぎる	動詞,非自立,*,*,一段,基本形,すぎる,スギル,スギル
→	記号,一般,*,*,*,*,→,→,→
お知らせ	名詞,サ変接続,*,*,*,*,お知らせ,オシラセ,オシラセ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
許さ	動詞,自立,*,*,五段・サ行,未然形,許す,ユルサ,ユルサ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
最大限	名詞,一般,*,*,*,*,最大限,サイダイゲン,サイダイゲン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
マジギレ	名詞,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
表現	名詞,サ変接続,*,*,*,*,表現,ヒョウゲン,ヒョーゲン
-	記号,一般,*,*,*,*,*
Togetter	名詞,固有名詞,一般,*,*,*,Togetter,トゥギャッター,トゥギャッター
EOS
吹奏楽部	名詞,固有名詞,一般,*,*,*,吹奏楽部,スイソウガクブ,スイソーガクブ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
演劇部	名詞,固有名詞,一般,*,*,*,演劇部,エンゲキブ,エンゲキブ
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
雇わ	動詞,自立,*,*,五段・ワ行促音便,未然形,雇う,ヤトワ,ヤトワ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
EOS
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
アパート	名詞,一般,*,*,*,*,アパート,アパート,アパート
の	助詞,連体化,*,*,*,*,の,ノ,ノ
大家	名詞,一般,*,*,*,*,大家,オオヤ,オーヤ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
全力	名詞,一般,*,*,*,*,全力,ゼンリョク,ゼンリョク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
バトル	名詞,一般,*,*,*,*,バトル,バトル,バトル
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
敷金	名詞,一般,*,*,*,*,敷金,シキキン,シキキン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
全額	名詞,一般,*,*,*,*,全額,ゼンガク,ゼンガク
取り返し	動詞,自立,*,*,五段・サ行,連用形,取り返す,トリカエシ,トリカエシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ
-	記号,一般,*,*,*,*,*
ゴミ	名詞,一般,*,*,*,*,ゴミ,ゴミ,ゴミ
ログ	名詞,サ変接続,*,*,*,*,ログ,ログ,ログ
EOS
sing a song	名詞,固有名詞,一般,*,*,*,SING A SONG,シングアソング,シングアソング
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ
EOS
「	記号,括弧開,*,*,*,*,「,「,「
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
チベット	名詞,固有名詞,一般,*,*,*,チベット,チベット,チベット
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
十	名詞,数,*,*,*,*,十,ジュウ,ジュー
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
いたん	名詞,一般,*,*,*,*,異端,イタン,イタン
だけど…	名詞,固有名詞,一般,*,*,*,だけど…,ダケド,ダケド
」	記号,括弧閉,*,*,*,*,」,」,」
電車	名詞,一般,*,*,*,*,電車,デンシャ,デンシャ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
隣	名詞,一般,*,*,*,*,隣,トナリ,トナリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
おば	名詞,一般,*,*,*,*,おば,オバ,オバ
さま	名詞,接尾,人名,*,*,*,さま,サマ,サマ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
意外	名詞,形容動詞語幹,*,*,*,*,意外,イガイ,イガイ
すぎる	動詞,非自立,*,*,一段,基本形,すぎる,スギル,スギル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
で	助詞,格助詞,一般,*,*,*,で,デ,デ
声	名詞,一般,*,*,*,*,声,コエ,コエ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
かけ	動詞,自立,*,*,一段,未然形,かける,カケ,カケ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ
-	記号,一般,*,*,*,*,*
Togetter	名詞,固有名詞,一般,*,*,*,Togetter,トゥギャッター,トゥギャッター
EOS
やわらか	形容詞,自立,*,*,形容詞・アウオ段,ガル接続,やわらかい,ヤワラカ,ヤワラカ
Docker	名詞,固有名詞,一般,*,*,*,Docker,ドッカー,ドッカー
·	記号,一般,*,*,*,*,*
GitHub	名詞,固有名詞,一般,*,*,*,GitHub,ギットハブ,ギットハブ
EOS
「	記号,括弧開,*,*,*,*,「,「,「
父	名詞,一般,*,*,*,*,父,チチ,チチ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
膨大	名詞,形容動詞語幹,*,*,*,*,膨大,ボウダイ,ボーダイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
借金	名詞,サ変接続,*,*,*,*,借金,シャッキン,シャッキン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
残し	動詞,自立,*,*,五段・サ行,連用形,残す,ノコシ,ノコシ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
死ん	動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
悪魔	名詞,一般,*,*,*,*,悪魔,アクマ,アクマ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
狩っ	動詞,自立,*,*,五段・ラ行,連用タ接続,狩る,カッ,カッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
売り払い	動詞,自立,*,*,五段・ワ行促音便,連用形,売り払う,ウリハライ,ウリハライ
ながら	助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
返済	名詞,サ変接続,*,*,*,*,返済,ヘンサイ,ヘンサイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
目指す	動詞,自立,*,*,五段・サ行,基本形,目指す,メザス,メザス
少年	名詞,一般,*,*,*,*,少年,ショウネン,ショーネン
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
マンガ	名詞,一般,*,*,*,*,マンガ,マンガ,マンガ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
超	接頭詞,名詞接続,*,*,*,*,超,チョウ,チョー
爽快	名詞,一般,*,*,*,*,爽快,ソウカイ,ソーカイ
。	記号,句点,*,*,*,*,。,。,。
怒涛	名詞,一般,*,*,*,*,怒涛,ドトウ,ドトー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
「	記号,括弧開,*,*,*,*,「,「,「
最高	名詞,一般,*,*,*,*,最高,サイコウ,サイコー
じゃあ	助詞,副助詞,*,*,*,*,じゃあ,ジャア,ジャー
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
っす	助動詞,*,*,*,特殊・デス,基本形,っす,ッス,ッス
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
流れ	名詞,一般,*,*,*,*,流れ,ナガレ,ナガレ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
-	記号,一般,*,*,*,*,*
Togetter	名詞,固有名詞,一般,*,*,*,Togetter,トゥギャッター,トゥギャッター
EOS
IIJ	名詞,固有名詞,一般,*,*,*,IIJ,アイアイジェイ,アイアイジェイ
、	記号,読点,*,*,*,*,、,、,、
兵庫県警察	名詞,固有名詞,組織,*,*,*,兵庫県警察,ヒョウゴケンケイサツ,ヒョーゴケンケイサツ
サイバー	名詞,固有名詞,一般,*,*,*,CY8ER,サイバー,サイバー
捜査	名詞,サ変接続,*,*,*,*,捜査,ソウサ,ソーサ
官	名詞,接尾,一般,*,*,*,官,カン,カン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
育成	名詞,サ変接続,*,*,*,*,育成,イクセイ,イクセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
|	記号,一般,*,*,*,*,*
IIJ	名詞,固有名詞,一般,*,*,*,IIJ,アイアイジェイ,アイアイジェイ
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
|	記号,一般,*,*,*,*,*
IIJ	名詞,固有名詞,一般,*,*,*,IIJ,アイアイジェイ,アイアイジェイ
EOS
専門家	名詞,固有名詞,一般,*,*,*,専門家,センモンカ,センモンカ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
警鐘	名詞,一般,*,*,*,*,警鐘,ケイショウ,ケイショー
ストロング	名詞,固有名詞,一般,*,*,*,ストロング,ストロング,ストロング
系	名詞,接尾,一般,*,*,*,系,ケイ,ケイ
チューハイ	名詞,固有名詞,一般,*,*,*,チューハイ,チューハイ,チューハイ
「	記号,括弧開,*,*,*,*,「,「,「
安く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,安い,ヤスク,ヤスク
気持ちよく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,気持ちよい,キモチヨク,キモチヨク
酔える	動詞,自立,*,*,一段,基本形,酔える,ヨエル,ヨエル
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
落とし穴	名詞,一般,*,*,*,*,落とし穴,オトシアナ,オトシアナ
（	記号,括弧開,*,*,*,*,（,（,（
日刊ゲンダイ	名詞,固有名詞,人名,一般,*,*,日刊ゲンダイ,ニッカンゲンダイ,ニッカンゲンダイ
DIGITAL	名詞,固有名詞,組織,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
-	記号,一般,*,*,*,*,*
Yahoo!ニュース	名詞,固有名詞,一般,*,*,*,Yahoo!ニュース,ヤフーニュース,ヤフーニュース
EOS
弓月	名詞,固有名詞,人名,姓,*,*,弓月,ユヅキ,ユズキ
恵太	名詞,固有名詞,人名,名,*,*,恵太,ケイタ,ケイタ
on	名詞,固有名詞,人名,一般,*,*,ON,オン,オン
Twitter	名詞,固有名詞,組織,*,*,*,Twitter,ツイッター,ツイッター
:	記号,一般,*,*,*,*,*
